Matricula,UF,Admissão,Sindicato do Colaborador,Competência,Dias,VALOR DIÁRIO VR,TOTAL,Custo empresa,Desconto profissional,OBS GERAL
26846,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35750,RS,14/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35655,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32073,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
34825,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35362,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
30567,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
32099,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35705,RS,07/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35768,RS,22/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,17,35.0,595.0,476.0,119.0,Trabalhando | Admissão em 22/04/2025
26051,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
34113,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
35549,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
34740,RS,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-05,22,35.0,770.0,616.0,154.0,Trabalhando
